id,dep_delayed_15min
0,0.10666493168069108
1,0.0846038111649952
2,0.11140342447691239
3,0.2530103360459902
4,0.21847731513940524
5,0.11743549272028721
6,0.08297461890319112
7,0.1452407784099743
8,0.14842485136104555
9,0.2924667305731185
10,0.24035708992512536
11,0.20763134631047908
12,0.11754489090021646
13,0.22161688904016474
14,0.08053362222714036
15,0.22068814814521476
16,0.10930457453757635
17,0.30335175151725535
18,0.44592533549604674
19,0.0761949280418991
20,0.21997547424675007
21,0.15009928114105028
22,0.38137496546374244
23,0.13309844731966508
24,0.33168103507081564
25,0.2623777073449693
26,0.07021706665600873
27,0.10072130953296464
28,0.3302883540312878
29,0.15085901435705296
30,0.22197726820941208
31,0.3276669943221022
32,0.0643485589332884
33,0.3362124473326967
34,0.43210474047427666
35,0.318299369491081
36,0.21439804390803863
37,0.14070448755029696
38,0.08501237512102326
39,0.20266992882221146
40,0.16438378300926848
41,0.2579212709963047
42,0.1783723564975404
43,0.31287739299887124
44,0.14959530626291437
45,0.3246524116061158
46,0.05995231736140882
47,0.17440848996250027
48,0.38367932335482885
49,0.10832598671659502
50,0.40826962032449654
51,0.10809289357265595
52,0.12941793402363905
53,0.3981433622753685
54,0.3274190235595818
55,0.13481586558882466
56,0.19432033511764113
57,0.30804525001541894
58,0.10738166952733838
59,0.3391830277490746
60,0.1483199463597748
61,0.10209991752945387
62,0.17804642106453172
63,0.2836174003871908
64,0.1950882829622005
65,0.1344081973750136
66,0.07131397622137635
67,0.1292603484327686
68,0.2002774313686794
69,0.17327956133534944
70,0.0950199464658189
71,0.14227587671439001
72,0.26253461302620346
73,0.2251817945578393
74,0.3818188674454012
75,0.292743026724295
76,0.12575934459701782
77,0.15231556080993972
78,0.07052451630625077
79,0.20565154959846998
80,0.2103138280683613
81,0.13000975475363724
82,0.1281051705690826
83,0.16970675133671304
84,0.09428133269075502
85,0.0662480910398205
86,0.136855705765546
87,0.22768303430277545
88,0.18542629165438082
89,0.2109486937775539
90,0.19884636918749712
91,0.2532377398093665
92,0.189475621140866
93,0.17954318137582256
94,0.1630156802801448
95,0.15672672612566185
96,0.28099209142404985
97,0.04493391369402343
98,0.17612005692696558
99,0.28108453589523313
100,0.15297190231587443
101,0.15882018378852528
102,0.08198079302660741
103,0.20050878550324353
104,0.0742351103717412
105,0.09104744244490538
106,0.19188041162357672
107,0.08229216218039027
108,0.1561407618677056
109,0.19374546413977367
110,0.22817904170160971
111,0.22349719180507013
112,0.44316165462850704
113,0.06450177906443519
114,0.07915245716363213
115,0.14528802916213504
116,0.12174614957960359
117,0.3493548285765922
118,0.0903522701394046
119,0.09828033340074856
120,0.26397771848418383
121,0.3590875641550289
122,0.2523940476700027
123,0.1780845426706749
124,0.24154995501204232
125,0.08504337384282257
126,0.1277742817539455
127,0.08005769864495393
128,0.08817738837170436
129,0.2994729517723315
130,0.4326285831580259
131,0.12621521572970873
132,0.09946000706555501
