id,log_recommends
2,1.2929455661177272
3,1.6240564483960926
4,2.7167301325863265
5,2.348547377978071
7,1.991201051212014
8,5.016507628178319
9,2.3744670207818097
10,2.400387061559087
11,4.029551179881226
13,1.54222009743868
14,10.85901922875673
17,6.328194712610841
19,1.3665823663757852
20,2.6803570144566016
22,1.7001117768688752
23,2.059728133370186
25,1.9202742223847213
26,1.6056698154142424
27,1.605424166725088
28,1.9649366389653475
29,3.4629921548584393
30,4.037868686816729
32,2.7874745313247153
33,1.7013737279332581
34,4.846268367307759
35,2.3171871158469224
36,2.084743862536394
37,1.9995716847501468
38,1.2983951476048987
39,2.891802470720595
40,1.7959389911317438
42,3.363624120540773
43,2.1544425228567867
45,1.2123346943761868
48,1.6779268272959367
50,5.653003517901696
51,10.85901922875673
52,1.6474720135052292
54,1.576379875272115
55,1.7363791556097643
57,1.4139327411909037
58,1.6883285232235854
59,7.801492019856753
60,1.897125792432934
61,1.415200192660475
63,10.639601178635118
64,1.628095619187138
65,0.8503808253581969
66,1.8487375486314197
70,1.9379486175790688
71,2.6794136948215086
72,2.7708884254905266
73,1.232978762766236
74,1.2515753026554373
76,0.8853758808674189
78,1.3779322418348947
79,1.841049887631936
80,1.8637190860547053
81,1.9810460236883998
82,1.2470253558855031
83,1.8968052052643918
84,2.2607282592891553
85,2.8905361385854023
87,1.305762289340357
88,1.6322688834713825
92,1.6766621473124252
93,1.3456363179158066
94,1.456100540599472
95,1.2053885944786311
96,1.4387274390605118
97,1.37604026302171
98,1.5592547768880471
100,1.1487265718413417
106,1.3188669542538243
107,1.3739008092991034
108,1.2048968962453444
109,1.0493805104403475
110,1.5401348846114238
111,1.8238597550184006
113,1.2284374549973693
114,1.2711398275954215
115,1.2386771553892675
116,1.4286929423980528
118,1.9365828452949743
119,9.248246814564647
121,2.4483663347442355
122,2.1640165308932553
123,1.257692886379655
124,1.4416308392216737
125,3.9889019798134036
126,1.5077281779660263
127,1.3028510780309657
128,1.2659616107500231
129,3.4106435574031315
130,1.3121486704579977
131,1.9723623761033302
132,1.602006650482644
133,1.4404146161117195
134,1.5561129296211944
138,2.041939313187671
139,4.825232885253752
141,1.464094554704078
143,2.531282268902881
144,10.85901922875673
146,1.4005695845655195
149,1.4934292714951574
150,1.5112649267702658
151,1.8798105490836001
152,2.123623865729842
154,1.5813880910675149
155,1.629405134419547
156,3.1579434223047835
157,1.0819316409404185
158,1.34556500108087
159,1.3099814803817993
