id,log_recommends
2,1.9626350822001932
3,1.7766596497183902
4,3.412301533027472
5,2.972273059528643
7,1.7287385833781763
8,3.1675328369675313
9,2.0189508594893417
10,3.1416275699177008
11,6.853092429750253
13,2.1959307751616794
14,10.85901922875673
17,8.206003331472601
19,1.6768616819800328
20,1.9666331112072573
22,2.77668563827693
23,2.4701107804036786
25,2.671756175963338
26,2.178842995714365
27,2.2119953909486862
28,1.5789862070633782
29,9.657009261214412
30,4.88019901111635
32,5.389922465833981
33,1.5893911208036486
34,4.508664545408759
35,4.385150733351771
36,2.796789074380652
37,2.7422863314627257
38,2.0014181414238386
39,3.7481860389351342
40,2.184299102063641
42,4.063631370157112
43,1.8124816798017076
45,1.7032258299100236
48,2.5595129845927116
50,6.045994580626397
51,8.350905699611637
52,1.2916584334323558
54,2.9246446905818795
55,1.4270680145888899
57,0.9765766862527616
58,2.6724509228822737
59,5.152690471956279
60,1.961938470401922
61,1.9026868142125017
63,3.7058735242972847
64,1.7785812572414756
65,0.743947359509223
66,1.4384339685979486
70,2.4120692763726104
71,5.8532730470096626
72,2.5924360668307287
73,1.5209756440004563
74,2.4060394164915846
76,1.1534886973337426
78,1.1660267157816573
79,2.1393135359924336
80,2.082576855958096
81,2.5590523137171073
82,1.8743538749359903
83,1.745634325647141
84,2.2383075001900354
85,2.4551135187643447
87,1.1211836975246359
88,2.1452197614017665
92,1.554489195459383
93,1.045557253266194
94,1.7574343679105477
95,1.281330511276736
96,1.796409588793022
97,1.3788240524649906
98,2.3354275983801256
100,1.5528842372241212
106,1.6792680265687037
107,1.205205389336214
108,1.3698743221840737
109,1.9398332194034638
110,1.3481091755841943
111,2.866411789502774
113,1.223310856749148
114,1.814821289892715
115,0.972080168540976
116,1.7483386601981514
118,2.2141907791090016
119,6.041794074237911
121,2.9143039233975885
122,3.5740592690725532
123,1.0830899273689538
124,3.063640761305869
125,5.731217578280711
126,1.8978772030162137
127,1.083036857262741
128,1.5497769231109266
129,4.168240481985261
130,1.4712656253577296
131,3.0910566797230765
132,2.057303202193958
133,0.9638312996972395
134,1.0996379618063428
138,2.3712778806880768
139,5.161183945619196
141,1.6856630704191107
143,4.123915186050113
144,10.85901922875673
146,2.114846007172589
